"trimes","rent10","rent20","rent30","sma10","sma20","sma30","daxY"
"Q4",0.0286259663475876,0.0543819712061029,0.067326809325017,-0.00517890428917533,0.0224348289741849,0.033278405198456,"DOWN"
"Q4",0.029067740621626,0.0706991673944652,0.0821756276568875,0.00341224257702333,0.0306764877046719,0.0424062885346226,"DOWN"
"Q4",0.00931094940714949,0.0644147620198336,0.0827873648896096,-0.00339432293460651,0.0214601122060951,0.0335582458560277,"DOWN"
"Q4",-0.0110702798232744,0.0403726161128561,0.0505682178037554,-0.0133384722225355,0.00817624316920051,0.0204429840182614,"DOWN"
"Q4",-0.0230102979812605,0.0560000500268212,0.0387222128488685,-0.0160703672812088,0.000399616114044488,0.0139855690016235,"DOWN"
"Q4",-0.0213249322814308,0.0578217133050074,0.0519889375902476,-0.0122517009011759,-0.000611823425816227,0.014038023500385,"DOWN"
"Q4",-0.0336627620872876,0.045940519430774,0.0256309408450315,-0.0200117159439701,-0.0139765145889384,0.00181186389334531,"DOWN"
"Q4",-0.0639386865676638,0.0146534548298098,-0.016506658713543,-0.0431122357495809,-0.0441315094403578,-0.0276265022990749,"UP"
"Q4",-0.0334819567205071,0.00190912657692621,0.0290194522639595,-0.0166170691558234,-0.0210909528330292,-0.00502670087917989,"UP"
"Q4",-0.0361888201118431,-0.00381671063120059,0.0179408474616405,-0.0182580070355354,-0.0261319841363147,-0.0109101629993302,"UP"
"Q4",-0.0166975124959442,0.0114504714208461,0.0367764150663907,-0.00152207312717301,-0.0117599153232505,0.00305725746449381,"UP"
"Q4",-0.0297138706757734,-0.00150984513981534,0.0388845508018478,-0.000355210669546135,-0.0135510370991088,-8.43736905500325e-05,"UP"
"Q4",-0.0181549716901597,-0.00901306230590537,0.0450903421487756,0.00748955951081887,-0.00721045520485486,0.00443558665789046,"UP"
"Q4",-0.00671631421455043,-0.0177122425600887,0.0333851467228283,0.00863127898290927,-0.00587256586411622,0.00380223704725213,"UP"
"Q4",0,-0.0230102979812605,0.0560000500268212,0.0102985198783718,-0.00306025636469209,0.00367762686805784,"UP"
"Q4",-0.00172208913399474,-0.0230102979812605,0.0560000500268212,0.0104746279635293,-0.00188846512888985,0.00190007666756142,"UP"
"Q4",0.0071943833336392,-0.0267105615681734,0.0534654164717447,0.00732394291231553,-0.00292184442841992,-0.00219187639626339,"UP"
"Q4",0.0362997577273163,-0.0299598876721565,0.0514851294173164,0.00190184801573134,-0.00326429861641298,-0.00568380199980556,"DOWN"
"Q4",-0.00293442556607726,-0.0363181319767815,-0.0010309011789873,-0.0124151566963832,-0.0159717070376525,-0.0201441710426714,"UP"
"Q4",0.00241365929904291,-0.0338625082949846,-0.00141226357126456,-0.0126499439752262,-0.0142718400402222,-0.0200989070670266,"UP"
"Q1",-0.0127171179959426,-0.0292022862552371,-0.00141226357126456,-0.0113926347831167,-0.0128082589484516,-0.0200536389092927,"UP"
"Q1",-0.0108507149534257,-0.0402421688883334,-0.0123441771940052,-0.0103193488567114,-0.0107609070137078,-0.0196534019277175,"UP"
"Q1",-0.0649429046546515,-0.0819188397493292,-0.073370632514578,-0.0526596404112328,-0.0553070675051152,-0.065428755554484,"UP"
"Q1",-0.0653643463465116,-0.0716416530725702,-0.0819188397493292,-0.0463413794815069,-0.0518509600884339,-0.0628237109196408,"UP"
"Q1",-0.0669067249142997,-0.0669067249142997,-0.0883774792183319,-0.0397752331880744,-0.0486169099084722,-0.0599768572288139,"UP"
"Q1",-0.0406541715830275,-0.0423062506098876,-0.0627290049619813,-0.0086117373638338,-0.0197319079342509,-0.0314410138439862,"UP"
"Q1",-0.0383459893782693,-0.0314274817915251,-0.0640323080362619,-0.00467706218131014,-0.0181704567632721,-0.0292969905748774,"UP"
"Q1",-0.0414311988297994,-0.00663538358235716,-0.0701498124388924,-0.00547861187873733,-0.0228413017332209,-0.0318788559401763,"UP"
"Q1",-0.0241943757841953,-0.0270578047554161,-0.0596338132281504,0.000121541113792922,-0.0184317202478601,-0.0268377840744732,"UP"
"Q1",-0.0241943757841953,-0.0218391134652485,-0.0572376018284956,0.00260773467268161,-0.017354977661832,-0.0249174156331059,"UP"
"Q1",-0.0159004046853363,-0.0284153153587122,-0.0446383627713781,0.0127841124931636,-0.00756468377312303,-0.0151211810136969,"UP"
"Q1",-0.00164338338327619,-0.0124762664520508,-0.0418194189599514,0.0276304987670852,0.00745383919459153,0.000601583245104731,"UP"
"Q1",0.0498393949230376,-0.0183402248041463,-0.0361622302321956,0.0226415354726763,0.00840285377691097,0.00185529065555645,"UP"
